targetIP,targetLoc,targetOwner,targetPing,targetHops,cdnIP,cdnLoc,cdnOwner,cdnPing,cdnHops,contentIP,contentLoc,contentOwner,contentPing,contentHops,contentThroughput(KB/s),targetURL
216.58.223.46,California US,AS15169 Google Inc.,34,10,196.23.168.141,ZA,AS3741 Internet Solutions,27,8,173.194.128.8,California US,AS15169 Google Inc.,27,10,195.43,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,27,10,196.23.168.140,ZA,AS3741 Internet Solutions,26,9,196.23.168.140,ZA,AS3741 Internet Solutions,27,9,199.1,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",179,8,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",189,17,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",280,17,181.28,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.254.200.156,US,"AS3356 Level 3 Communications, Inc.",184,10,62.115.225.82,EU,AS1299 Telia Company AB,169,14,62.115.225.82,EU,AS1299 Telia Company AB,170,14,203.66,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.46,California US,AS15169 Google Inc.,27,10,196.23.168.141,ZA,AS3741 Internet Solutions,27,8,196.23.168.141,ZA,AS3741 Internet Solutions,42,8,197.87,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,27,10,196.23.168.140,ZA,AS3741 Internet Solutions,27,9,196.23.168.140,ZA,AS3741 Internet Solutions,115,9,203.64,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",178,8,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",179,17,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",179,17,204.39,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.254.218.10,US,"AS3356 Level 3 Communications, Inc.",182,10,62.115.225.82,EU,AS1299 Telia Company AB,170,14,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",179,8,205.69,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.46,California US,AS15169 Google Inc.,27,10,196.23.168.141,ZA,AS3741 Internet Solutions,42,8,196.23.168.141,ZA,AS3741 Internet Solutions,26,8,202.81,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,26,10,196.23.168.140,ZA,AS3741 Internet Solutions,66,9,196.23.168.140,ZA,AS3741 Internet Solutions,27,9,202.35,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",270,8,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",180,17,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",179,17,206.26,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.254.200.156,US,"AS3356 Level 3 Communications, Inc.",285,10,62.115.225.82,EU,AS1299 Telia Company AB,170,14,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",179,8,202.01,https://www.twitch.tv/dota2ti/v/83400929
